# CanSat 2026 vehicle netlist. Generated by tools/gen_netlist.py -- do not hand-edit.
# Rows sharing a net name are one electrical node. Pico pins are physical, USB to the left.
# pin_constant names the flight::BoardPins member the assignment comes from; the generator refuses to run if they disagree.
#
# Reference designators:
#   U1   Raspberry Pi Pico (RP2040)  [soldered down]
#   U2   SX1278 RA-02 433 MHz LoRa module  [soldered down]
#   U3   microSD card reader, 3.3 V, no level shifter  [soldered down]
#   U4   MPU-6500 IMU breakout (sold as MPU-9250)  [male header, jumpered]
#   U5   GY-BMP280 barometer breakout, 6-pin  [male header, jumpered]
#   U6   NEO-6M GPS module with patch antenna  [male header, jumpered]
#   U7   LM393 sound module, 4-pin AO/DO variant  [male header, jumpered]
#   BT1  Orange 3.7 V 1500 mAh 1S LiPo  [JST-RCY pigtail]
#   SW1  Manual ON/OFF switch  [not yet fitted]
#   D1   Schottky diode, 1 A (1N5817 / SS14 / SS34)  [not yet fitted]
#   D2   Power indicator LED  [not yet fitted]
#   D3   Status LED  [not yet fitted]
#   R1   1 kOhm 5 % — status LED series  [not yet fitted]
#   R2   1 kOhm 5 % — power LED series  [not yet fitted]
#   R3   33 kOhm 1 % — battery divider, high side  [not yet fitted]
#   R4   33 kOhm 1 % — battery divider, low side  [not yet fitted]
#   C1   100 uF electrolytic — microSD bulk  [fitted]
#   C2   100 uF electrolytic — microSD bulk  [fitted]
#   C3   10 uF electrolytic — RA-02 bulk  [fitted]
#   C4   0.1 uF ceramic 104 — microSD  [fitted]
#   C5   0.1 uF ceramic 104 — RA-02  [fitted]
#   C6   0.1 uF ceramic 104 — LM393  [fitted]
#   J1   3.3 V test link, 2-pin header  [not yet fitted]
net	class	ref	pin	signal	pin_constant	note
VBAT	power	BT1	+	battery +		JST-RCY, red
VBAT	power	SW1	1	switch in		manual ON/OFF, PWR-001
VSW	power	SW1	2	switch out		switched battery node
VSW	power	D1	A	anode		Schottky, stops USB back-powering the pack
VSW	power	R3	1	divider high		33 kOhm 1 %
VSW	power	R2	1	power LED series		LED on whenever the switch is on
VSYS	power	D1	K	cathode		band toward the Pico
VSYS	power	U1	39	VSYS		Pico second supply, datasheet 4.5
VBUS	power	U1	40	VBUS		LIVE 5 V — never wired, nothing here tolerates 5 V
+3V3	power	U1	36	3V3(OUT)		the only 3.3 V source on the vehicle
+3V3	power	J1	1	test link		opens the rail for a series-current measurement
+3V3	power	U2	J2.3	3.3V		star point, C3 and C5 here
+3V3	power	U3	6	3V3		star point, C1/C2 and C4 here
+3V3	power	U4	1	VCC		
+3V3	power	U5	1	VCC		
+3V3	power	U6	1	VCC		
+3V3	power	U7	4	VCC		C6 here
+3V3	power	C1	+	bulk		stripe is the NEGATIVE leg
+3V3	power	C2	+	bulk		
+3V3	power	C3	+	bulk		
+3V3	power	C4	1	decoupling		ceramic, no polarity
+3V3	power	C5	1	decoupling		
+3V3	power	C6	1	decoupling		
GND	power	U1	38	GND		GND node; the ring starts here
GND	power	U1	33	AGND		separate plane — ONE tie, beside pin 38
GND	power	BT1	-	battery -		JST-RCY, black
GND	power	U2	J2.1	GND		
GND	power	U2	J2.2	GND		star point
GND	power	U3	1	GND		star point
GND	power	U4	2	GND		
GND	power	U5	2	GND		
GND	power	U6	4	GND		
GND	power	U7	3	GND		near the AGND tie
GND	power	R4	2	divider low		
GND	power	D2	K	cathode		
GND	power	D3	K	cathode		
GND	power	C1	-	bulk		
GND	power	C2	-	bulk		
